[root@fwhmsj /]# route -n
Kernel IP routing table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
192.168.3.254   172.21.1.3      255.255.255.255 UGH   0      0        0 eth2
10.21.0.0       192.168.0.109   255.255.255.252 UG    0      0        0 eth1
10.20.0.0       192.168.0.109   255.255.255.128 UG    0      0        0 eth1
10.120.0.0      192.168.0.4     255.255.255.128 UG    0      0        0 eth1
10.30.0.0       192.168.0.109   255.255.255.128 UG    0      0        0 eth1
200.211.134.0   0.0.0.0         255.255.255.128 U     0      0        0 eth0
10.130.0.0      192.168.0.4     255.255.255.128 UG    0      0        0 eth1
10.253.0.0      192.168.0.4     255.255.255.0   UG    0      0        0 eth1
10.63.0.0       192.168.0.109   255.255.255.0   UG    0      0        0 eth1
10.61.0.0       192.168.0.109   255.255.255.0   UG    0      0        0 eth1
10.161.0.0      192.168.0.4     255.255.255.0   UG    0      0        0 eth1
10.70.0.0       192.168.0.109   255.255.255.0   UG    0      0        0 eth1
10.72.0.0       192.168.0.109   255.255.255.0   UG    0      0        0 eth1
10.50.0.0       192.168.0.109   255.255.255.0   UG    0      0        0 eth1
10.62.0.0       192.168.0.109   255.255.255.0   UG    0      0        0 eth1
10.60.0.0       192.168.0.109   255.255.255.0   UG    0      0        0 eth1
10.160.0.0      192.168.0.4     255.255.255.0   UG    0      0        0 eth1
10.75.0.0       192.168.0.109   255.255.255.0   UG    0      0        0 eth1
172.21.1.0      0.0.0.0         255.255.255.0   U     1      0        0 eth2
10.40.0.0       0.0.0.0         255.255.255.0   U     0      0        0 eth1
10.43.0.0       192.168.0.109   255.255.252.0   UG    0      0        0 eth1
10.140.0.0      192.168.0.4     255.255.252.0   UG    0      0        0 eth1
10.41.0.0       192.168.0.109   255.255.252.0   UG    0      0        0 eth1
10.141.0.0      192.168.0.4     255.255.252.0   UG    0      0        0 eth1
10.40.0.0       192.168.0.109   255.255.252.0   UG    0      0        0 eth1
169.254.0.0     0.0.0.0         255.255.0.0     U     1002   0        0 eth0
169.254.0.0     0.0.0.0         255.255.0.0     U     1003   0        0 eth1
169.254.0.0     0.0.0.0         255.255.0.0     U     1004   0        0 eth2
169.254.0.0     0.0.0.0         255.255.0.0     U     1005   0        0 eth3
10.254.0.0      0.0.0.0         255.255.0.0     U     0      0        0 eth3
172.22.0.0      172.21.1.1      255.255.0.0     UG    0      0        0 eth2
172.22.0.0      192.168.0.4     255.255.0.0     UG    0      0        0 eth1
192.168.0.0     0.0.0.0         255.255.0.0     U     1      0        0 eth1
172.23.0.0      192.168.0.4     255.255.0.0     UG    0      0        0 eth1
0.0.0.0         200.211.134.1   0.0.0.0         UG    0      0        0 eth0
